company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added,industry_group,stage_group,year,quarter,month,month_name,year_month,day_of_week,macro_regime,region,laid_off_log,funding_log,severity_magnitude,severity_intensity,prev_event_date,days_since_prior_layoff,event_sequence_number,company_total_events,is_repeated_restructurer,wrri_intensity_comp,wrri_magnitude_comp,wrri_recurrence_comp,wrri_velocity_comp,wrri_score,wrri_category
#Paid,"Toronto, Non-U.S.",19.0,2023-01-27,0.17,Marketing,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,Series B,21.0,Canada,2023-01-28,Marketing & Media,Expansion Stage (Series B),2023,1,1,January,2023-01,Friday,Phase 3: Rate Hikes & Tech Contraction,North America,2.995732273553991,3.091042453358316,Low (<= 40),Substantial (10% - 20%),,,1,1,False,8.5,8.1,5.0,5.0,26.6,Lower Risk Exposure
&Open,"Dublin, Non-U.S.",9.0,2022-11-17,0.09,Marketing,https://www.irishtimes.com/technology/2022/11/17/gifting-platform-open-to-cut-nine-roles-from-global-workforce/,Series A,35.0,Ireland,2022-12-01,Marketing & Media,Early Venture (Series A),2022,4,11,November,2022-11,Thursday,Phase 3: Rate Hikes & Tech Contraction,Europe,2.302585092994046,3.58351893845611,Low (<= 40),Targeted (< 10%),,,1,1,False,4.5,6.2,5.0,5.0,20.7,Lower Risk Exposure
0G,SF Bay Area,,2026-05-05,0.25,Crypto,https://www.businessinsider.com/0g-labs-layoffs-ai-integration-2026-5,Unknown,,United States,2026-05-07,Fintech & Financial Services,Unspecified / Private,2026,2,5,May,2026-05,Tuesday,Phase 4: AI Pivot & Structural Realignment,North America,,,Unreported,Severe (20% - 40%),,,1,1,False,12.5,12.2,5.0,5.0,34.7,Lower Risk Exposure
100 Thieves,Los Angeles,12.0,2022-07-13,,Consumer,https://www.dexerto.com/esports/100-thieves-layoffs-social-content-teams-1870915/,Series C,120.0,United States,2022-07-18,Consumer & Retail,Late Stage (Series C-D),2022,3,7,July,2022-07,Wednesday,Phase 3: Rate Hikes & Tech Contraction,North America,2.5649493574615367,4.795790545596741,Low (<= 40),Unreported,,,1,2,True,8.5,7.0,15.0,5.0,35.5,Moderate Risk Exposure
100 Thieves,Los Angeles,,2023-01-10,,Retail,https://www.dexerto.com/esports/100-thieves-hit-with-another-round-of-layoffs-as-org-drops-multiple-key-staff-2029435/,Series C,120.0,United States,2023-01-12,Consumer & Retail,Late Stage (Series C-D),2023,1,1,January,2023-01,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,,4.795790545596741,Unreported,Unreported,2022-07-13,181.0,2,2,True,8.5,12.2,15.0,12.0,47.7,Moderate Risk Exposure
10X Genomics,SF Bay Area,100.0,2022-08-04,0.08,Healthcare,https://www.genomeweb.com/business-news/10x-genomics-lays-approximately-100-employees#.YuxWk-zMKqV,Post-IPO,242.0,United States,2022-08-04,Healthcare & BioTech,Public (Post-IPO),2022,3,8,August,2022-08,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,4.61512051684126,5.493061443340548,Moderate (41 - 200),Targeted (< 10%),,,1,1,False,4.0,12.5,5.0,5.0,26.5,Lower Risk Exposure
123Milhas,"Belo Horizonte, Non-U.S.",,2023-08-29,,Travel,https://economia.uol.com.br/noticias/redacao/2023/08/28/123milhas-demissao-funcionarios.htm,Unknown,,Brazil,2023-10-06,Travel & Transportation,Unspecified / Private,2023,3,8,August,2023-08,Tuesday,Phase 3: Rate Hikes & Tech Contraction,Latin America,,,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
1K Kirana,"Gurugram, Non-U.S.",600.0,2023-04-04,0.4,Retail,https://www.moneycontrol.com/news/business/startup/info-edge-ventures-backed-1k-kirana-lays-off-40-workforce-to-restructure-business-10359421.html,Series B,,India,2023-04-04,Consumer & Retail,Expansion Stage (Series B),2023,2,4,April,2023-04,Tuesday,Phase 3: Rate Hikes & Tech Contraction,Asia-Pacific,6.398594934535208,,Mega-Event (> 500),Severe (20% - 40%),,,1,1,False,20.0,17.4,5.0,5.0,47.4,Moderate Risk Exposure
1stdibs,New York City,70.0,2020-04-02,0.17,Retail,https://twitter.com/eringriffith/status/1246147841350762497,Series D,253.0,United States,2020-04-08,Consumer & Retail,Late Stage (Series C-D),2020,2,4,April,2020-04,Thursday,Phase 1: COVID Shock & Virtualization,North America,4.2626798770413155,5.537334267018537,Moderate (41 - 200),Substantial (10% - 20%),,,1,1,False,8.5,11.6,5.0,5.0,30.1,Lower Risk Exposure
23andMe,SF Bay Area,75.0,2023-06-09,0.09,Healthcare,https://www.genomeweb.com/business-news/23andme-laying-9-percent-workforce-cut-operating-costs,Post-IPO,1100.0,United States,2023-06-09,Healthcare & BioTech,Public (Post-IPO),2023,2,6,June,2023-06,Friday,Phase 3: Rate Hikes & Tech Contraction,North America,4.330733340286331,7.00397413672268,Moderate (41 - 200),Targeted (< 10%),,,1,3,True,4.5,11.8,25.0,5.0,46.3,Moderate Risk Exposure
23andMe,SF Bay Area,71.0,2023-08-08,0.11,Healthcare,https://www.streetinsider.com/Corporate+News/23andMe+Holding+%28ME%29+Announces+11%25+Workforce+Cut/22014370.html,Post-IPO,1100.0,United States,2023-08-08,Healthcare & BioTech,Public (Post-IPO),2023,3,8,August,2023-08,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,4.276666119016055,7.00397413672268,Moderate (41 - 200),Substantial (10% - 20%),2023-06-09,60.0,2,3,True,5.5,11.6,25.0,25.0,67.1,Elevated Risk Exposure
23andMe,SF Bay Area,200.0,2024-11-11,0.4,Healthcare,https://www.wsj.com/tech/biotech/23andme-to-cut-workforce-by-40-discontinues-therapeutics-pipeline-8c818729,Post-IPO,1100.0,United States,2024-11-12,Healthcare & BioTech,Public (Post-IPO),2024,4,11,November,2024-11,Monday,Phase 4: AI Pivot & Structural Realignment,North America,5.303304908059076,7.00397413672268,Moderate (41 - 200),Severe (20% - 40%),2023-08-08,461.0,3,3,True,20.0,14.4,25.0,7.0,66.4,Elevated Risk Exposure
2TM,"Sao Paulo, Non-U.S.",90.0,2022-06-01,0.12,Crypto,"https://www.terra.com.br/noticias/tecnologia/2tm-dono-do-mercado-bitcoin-demite-90-funcionarios,9ce67613ba7b79292f03bc2027ceb77e9uw5hy0w.html",Unknown,250.0,Brazil,2022-06-02,Fintech & Financial Services,Unspecified / Private,2022,2,6,June,2022-06,Wednesday,Phase 2: Tech Overhiring & Peak Valuation,Latin America,4.51085950651685,5.5254529391317835,Moderate (41 - 200),Substantial (10% - 20%),,,1,2,True,6.0,12.2,15.0,5.0,38.2,Moderate Risk Exposure
2TM,"Sao Paulo, Non-U.S.",100.0,2022-09-01,0.15,Crypto,https://finance.yahoo.com/news/second-round-layoffs-brazilian-crypto-212310521.html,Unknown,250.0,Brazil,2022-09-02,Fintech & Financial Services,Unspecified / Private,2022,3,9,September,2022-09,Thursday,Phase 3: Rate Hikes & Tech Contraction,Latin America,4.61512051684126,5.5254529391317835,Moderate (41 - 200),Substantial (10% - 20%),2022-06-01,92.0,2,2,True,7.5,12.5,15.0,20.0,55.0,Elevated Risk Exposure
2U,Washington D.C.,,2022-07-28,0.2,Education,https://www.insidehighered.com/news/2022/08/01/online-program-enabler-2u-resets-its-pricing-model,Post-IPO,426.0,United States,2022-07-30,EdTech & Learning,Public (Post-IPO),2022,3,7,July,2022-07,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,,6.056784013228625,Unreported,Substantial (10% - 20%),,,1,5,True,10.0,12.2,25.0,5.0,52.2,Moderate Risk Exposure
2U,Washington D.C.,,2023-09-28,,Education,https://2u.com/latest/organizational-changes-2u/,Post-IPO,426.0,United States,2023-09-29,EdTech & Learning,Public (Post-IPO),2023,3,9,September,2023-09,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,,6.056784013228625,Unreported,Unreported,2022-07-28,427.0,2,5,True,8.5,12.2,25.0,7.0,52.7,Moderate Risk Exposure
2U,Washington D.C.,,2024-01-22,,Education,https://www.classcentral.com/report/2u-layoffs-2024/,Post-IPO,426.0,United States,2024-01-23,EdTech & Learning,Public (Post-IPO),2024,1,1,January,2024-01,Monday,Phase 4: AI Pivot & Structural Realignment,North America,,6.056784013228625,Unreported,Unreported,2023-09-28,116.0,3,5,True,8.5,12.2,25.0,20.0,65.7,Elevated Risk Exposure
2U,Washington D.C.,,2024-12-04,,Education,https://www.classcentral.com/report/2u-axes-trilogy-bootcamps-layoffs/,Post-IPO,426.0,United States,2024-12-07,EdTech & Learning,Public (Post-IPO),2024,4,12,December,2024-12,Wednesday,Phase 4: AI Pivot & Structural Realignment,North America,,6.056784013228625,Unreported,Unreported,2024-01-22,317.0,4,5,True,8.5,12.2,25.0,12.0,57.7,Elevated Risk Exposure
2U,Washington D.C.,,2025-03-31,,Education,https://www.classcentral.com/report/2u-layoffs-march-2025/,Post-IPO,426.0,United States,2025-04-01,EdTech & Learning,Public (Post-IPO),2025,1,3,March,2025-03,Monday,Phase 4: AI Pivot & Structural Realignment,North America,,6.056784013228625,Unreported,Unreported,2024-12-04,117.0,5,5,True,8.5,12.2,25.0,20.0,65.7,Elevated Risk Exposure
54gene,Washington D.C.,95.0,2022-08-29,0.3,Healthcare,https://techcrunch.com/2022/08/29/african-genomics-startup-54gene-lays-off-95-as-covid-testing-business-struggles/,Series B,44.0,United States,2022-08-30,Healthcare & BioTech,Expansion Stage (Series B),2022,3,8,August,2022-08,Monday,Phase 3: Rate Hikes & Tech Contraction,North America,4.564348191467836,3.8066624897703196,Moderate (41 - 200),Severe (20% - 40%),,,1,1,False,15.0,12.4,5.0,5.0,37.4,Moderate Risk Exposure
5B Solar,"Sydney, Non-U.S.",,2022-06-03,0.25,Energy,https://www.news.com.au/finance/business/manufacturing/aussie-startup-5b-solar-sacks-25-per-cent-of-staff/news-story/55133297ccce5f1b7d1edf38f117a631,Series A,12.0,Australia,2022-06-03,Other / Diversified,Early Venture (Series A),2022,2,6,June,2022-06,Friday,Phase 2: Tech Overhiring & Peak Valuation,Asia-Pacific,,2.5649493574615367,Unreported,Severe (20% - 40%),,,1,1,False,12.5,12.2,5.0,5.0,34.7,Lower Risk Exposure
6sense,SF Bay Area,150.0,2022-10-12,0.1,Sales,https://www.moneycontrol.com/news/business/startup/ai-platform-6sense-lays-off-150-employees-globally-including-several-from-india-9327791.html,Series E,426.0,United States,2022-10-14,Professional Services,Growth Stage (Series E+),2022,4,10,October,2022-10,Wednesday,Phase 3: Rate Hikes & Tech Contraction,North America,5.017279836814924,6.056784013228625,Moderate (41 - 200),Substantial (10% - 20%),,,1,1,False,5.0,13.6,5.0,5.0,28.6,Lower Risk Exposure
7Shifts,"Saskatoon, Non-U.S.",68.0,2024-01-11,0.19,Food,https://betakit.com/7shifts-cuts-19-percent-of-staff-in-new-layoffs-to-start-2024/,Series C,131.0,Canada,2024-01-18,Consumer & Retail,Late Stage (Series C-D),2024,1,1,January,2024-01,Thursday,Phase 4: AI Pivot & Structural Realignment,North America,4.23410650459726,4.882801922586371,Moderate (41 - 200),Substantial (10% - 20%),,,1,1,False,9.5,11.5,5.0,5.0,31.0,Lower Risk Exposure
7shifts,"Saskatoon, Non-U.S.",30.0,2023-09-15,0.07,Food,https://www.linkedin.com/feed/update/urn:li:activity:7108084382132801536/,Series C,131.0,Canada,2023-09-21,Consumer & Retail,Late Stage (Series C-D),2023,3,9,September,2023-09,Friday,Phase 3: Rate Hikes & Tech Contraction,North America,3.4339872044851463,4.882801922586371,Low (<= 40),Targeted (< 10%),,,1,1,False,3.5,9.3,5.0,5.0,22.8,Lower Risk Exposure
80 Acres Farms,Cincinnati,,2023-01-18,0.1,Food,https://www.bizjournals.com/cincinnati/inno/stories/news/2023/01/18/80-acres-cuts-jobs-tech-industry-job-loses.html,Unknown,275.0,United States,2023-01-19,Consumer & Retail,Unspecified / Private,2023,1,1,January,2023-01,Wednesday,Phase 3: Rate Hikes & Tech Contraction,North America,,5.62040086571715,Unreported,Substantial (10% - 20%),,,1,2,True,5.0,12.2,15.0,5.0,37.2,Moderate Risk Exposure
80 Acres Farms,Cincinnati,,2026-08-04,1.0,Food,https://agfundernews.com/indoor-ag-heavyweight-80-acres-farms-to-cease-operations,Unknown,275.0,United States,2026-08-04,Consumer & Retail,Unspecified / Private,2026,3,8,August,2026-08,Tuesday,Phase 4: AI Pivot & Structural Realignment,North America,,5.62040086571715,Unreported,Existential / Drastic (> 40%),2023-01-18,1294.0,2,2,True,25.0,12.2,15.0,7.0,59.2,Elevated Risk Exposure
888,"Tel Aviv, Non-U.S.",,2024-01-11,,Consumer,https://www.calcalistech.com/ctechnews/article/skbqy9a00p,Post-IPO,,Israel,2024-01-13,Consumer & Retail,Public (Post-IPO),2024,1,1,January,2024-01,Thursday,Phase 4: AI Pivot & Structural Realignment,Middle East,,,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
8x8,SF Bay Area,200.0,2022-10-04,0.09,Support,https://www.channelfutures.com/business-models/8x8-lays-off-workers-cites-operational-efficiency,Post-IPO,253.0,United States,2023-01-18,Enterprise & Infrastructure,Public (Post-IPO),2022,4,10,October,2022-10,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,5.303304908059076,5.537334267018537,Moderate (41 - 200),Targeted (< 10%),,,1,2,True,4.5,14.4,15.0,5.0,38.9,Moderate Risk Exposure
8x8,SF Bay Area,155.0,2023-01-18,0.07,Support,https://www.channelfutures.com/business-models/8x8-to-reduce-7-of-workforce-significantly-impacting-channel-staff,Post-IPO,253.0,United States,2023-01-18,Enterprise & Infrastructure,Public (Post-IPO),2023,1,1,January,2023-01,Wednesday,Phase 3: Rate Hikes & Tech Contraction,North America,5.049856007249537,5.537334267018537,Moderate (41 - 200),Targeted (< 10%),2022-10-04,106.0,2,2,True,3.5,13.7,15.0,20.0,52.2,Moderate Risk Exposure
91Trucks,"Gurugram, Non-U.S.",100.0,2026-06-22,0.7,Transportation,https://entrackr.com/exclusive/exclusive-91trucks-lays-off-nearly-70-workforce-shuts-stores-as-growth-slows-12061133,Series A,5.0,India,2026-06-23,Travel & Transportation,Early Venture (Series A),2026,2,6,June,2026-06,Monday,Phase 4: AI Pivot & Structural Realignment,Asia-Pacific,4.61512051684126,1.791759469228055,Moderate (41 - 200),Existential / Drastic (> 40%),,,1,1,False,25.0,12.5,5.0,5.0,47.5,Moderate Risk Exposure
98point6,Seattle,,2022-07-21,0.1,Healthcare,https://www.geekwire.com/2022/health-care-startup-98point6-lays-off-10-of-workforce-but-says-its-still-in-growth-mode/,Series E,247.0,United States,2022-07-22,Healthcare & BioTech,Growth Stage (Series E+),2022,3,7,July,2022-07,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,,5.5134287461649825,Unreported,Substantial (10% - 20%),,,1,2,True,5.0,12.2,15.0,5.0,37.2,Moderate Risk Exposure
98point6,Seattle,,2024-04-23,,Healthcare,https://www.geekwire.com/2024/98point6-hit-by-new-layoffs-in-latest-change-at-health-tech-startup/,Acquired,299.0,United States,2024-04-25,Healthcare & BioTech,Acquired / Subsidiary,2024,2,4,April,2024-04,Tuesday,Phase 4: AI Pivot & Structural Realignment,North America,,5.703782474656201,Unreported,Unreported,2022-07-21,642.0,2,2,True,8.5,12.2,15.0,7.0,42.7,Moderate Risk Exposure
99,"Sao Paulo, Non-U.S.",75.0,2022-09-20,0.02,Transportation,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/na-onda-dos-layoffs-99-demite-mais-de-75-colaboradores,d2c6d7e70027cb925695c2e6a25956d16jo4jtuj.html",Acquired,244.0,Brazil,2022-09-21,Travel & Transportation,Acquired / Subsidiary,2022,3,9,September,2022-09,Tuesday,Phase 3: Rate Hikes & Tech Contraction,Latin America,4.330733340286331,5.501258210544727,Moderate (41 - 200),Targeted (< 10%),,,1,1,False,1.0,11.8,5.0,5.0,22.8,Lower Risk Exposure
ABBYY,Nicosia,200.0,2024-10-01,,Data,https://www.bignewsnetwork.com/news/274659725/us-tech-giant-fires-russian-expats,Unknown,6.0,Cyprus,2024-10-03,Enterprise & Infrastructure,Unspecified / Private,2024,4,10,October,2024-10,Tuesday,Phase 4: AI Pivot & Structural Realignment,Other / International,5.303304908059076,1.9459101490553132,Moderate (41 - 200),Unreported,,,1,1,False,8.5,14.4,5.0,5.0,32.9,Lower Risk Exposure
ABL,Los Angeles,,2024-09-03,,Aerospace,https://payloadspace.com/rocket-startup-abl-reduces-its-workforce/,Unknown,479.0,United States,2024-09-04,Hardware & Manufacturing,Unspecified / Private,2024,3,9,September,2024-09,Tuesday,Phase 4: AI Pivot & Structural Realignment,North America,,6.173786103901937,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
ADP,Jersey City,76.0,2026-06-26,,HR,https://www.nj.gov/labor/assets/PDFs/WARN/2026_WARN_Notice_Archive.pdf,Post-IPO,,United States,2026-06-30,Other / Diversified,Public (Post-IPO),2026,2,6,June,2026-06,Friday,Phase 4: AI Pivot & Structural Realignment,North America,4.343805421853684,,Moderate (41 - 200),Unreported,,,1,1,False,8.5,11.8,5.0,5.0,30.3,Lower Risk Exposure
AEye,SF Bay Area,46.0,2023-03-28,0.33,Transportation,https://investors.aeye.ai/node/8921/html,Post-IPO,314.0,United States,2023-03-29,Travel & Transportation,Public (Post-IPO),2023,1,3,March,2023-03,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,3.8501476017100584,5.752572638825633,Moderate (41 - 200),Severe (20% - 40%),,,1,1,False,16.5,10.5,5.0,5.0,37.0,Moderate Risk Exposure
AI Fleet,Austin,,2025-11-13,,Transportation,https://www.bizjournals.com/austin/news/2025/11/13/layoffs-hit-at-austin-ai-startup.html,Series B,56.0,United States,2025-11-14,Travel & Transportation,Expansion Stage (Series B),2025,4,11,November,2025-11,Thursday,Phase 4: AI Pivot & Structural Realignment,North America,,4.04305126783455,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
AI21 Labs,"Tel Aviv, Non-U.S.",110.0,2026-05-18,0.61,AI,https://en.globes.co.il/en/article-shashuas-ai21-labs-laying-off-60-of-employees-1001543241,Series D,626.0,Israel,2026-05-20,Other / Diversified,Late Stage (Series C-D),2026,2,5,May,2026-05,Monday,Phase 4: AI Pivot & Structural Realignment,Middle East,4.709530201312334,6.440946540632921,Moderate (41 - 200),Existential / Drastic (> 40%),,,1,1,False,25.0,12.8,5.0,5.0,47.8,Moderate Risk Exposure
ALI Technologies,"Tokyo, Non-U.S.",,2024-01-16,1.0,Transportation,https://www.bbc.com/news/technology-67946088,Unknown,,Japan,2024-01-20,Travel & Transportation,Unspecified / Private,2024,1,1,January,2024-01,Tuesday,Phase 4: AI Pivot & Structural Realignment,Asia-Pacific,,,Unreported,Existential / Drastic (> 40%),,,1,1,False,25.0,12.2,5.0,5.0,47.2,Moderate Risk Exposure
AMD,SF Bay Area,1000.0,2024-11-13,0.04,Hardware,https://www.techopedia.com/news/amd-layoffs-amid-mixed-earnings-and-intel-merger-speculation,Post-IPO,,United States,2024-11-13,Hardware & Manufacturing,Public (Post-IPO),2024,4,11,November,2024-11,Wednesday,Phase 4: AI Pivot & Structural Realignment,North America,6.90875477931522,,Mega-Event (> 500),Targeted (< 10%),,,1,1,False,2.0,18.8,5.0,5.0,30.8,Lower Risk Exposure
ANS Commerce,"Gurugram, Non-U.S.",,2025-03-02,1.0,Retail,https://www.etnownews.com/technology/flipkart-shuts-down-ans-commerce-after-3-years-lays-off-employees-amid-e-commerce-restructuring-details-article-118657546,Acquired,2.0,India,2025-03-03,Consumer & Retail,Acquired / Subsidiary,2025,1,3,March,2025-03,Sunday,Phase 4: AI Pivot & Structural Realignment,Asia-Pacific,,1.0986122886681098,Unreported,Existential / Drastic (> 40%),,,1,1,False,25.0,12.2,5.0,5.0,47.2,Moderate Risk Exposure
ASML,"Veldhoven, Non-U.S.",1700.0,2026-01-28,,Hardware,https://www.asml.com/en/news/press-releases/2026/strengthening-focus-on-engineering-and-innovation,Post-IPO,,Netherlands,2026-02-03,Hardware & Manufacturing,Public (Post-IPO),2026,1,1,January,2026-01,Wednesday,Phase 4: AI Pivot & Structural Realignment,Europe,7.438971592395862,,Mega-Event (> 500),Unreported,,,1,1,False,8.5,20.2,5.0,5.0,38.7,Moderate Risk Exposure
AU10TIX,"Tel Aviv, Non-U.S.",19.0,2023-01-31,0.09,Security,https://www.calcalistech.com/ctechnews/article/sy6ynzb2o,Unknown,80.0,Israel,2023-02-07,Enterprise & Infrastructure,Unspecified / Private,2023,1,1,January,2023-01,Tuesday,Phase 3: Rate Hikes & Tech Contraction,Middle East,2.995732273553991,4.394449154672439,Low (<= 40),Targeted (< 10%),,,1,1,False,4.5,8.1,5.0,5.0,22.6,Lower Risk Exposure
Aakash,"New Delhi, Non-U.S.",80.0,2024-09-18,,Education,https://entrackr.com/2024/09/exclusive-aakash-lays-off-employees-amid-strategic-shift/,Acquired,,India,2024-09-21,EdTech & Learning,Acquired / Subsidiary,2024,3,9,September,2024-09,Wednesday,Phase 4: AI Pivot & Structural Realignment,Asia-Pacific,4.394449154672439,,Moderate (41 - 200),Unreported,,,1,1,False,8.5,11.9,5.0,5.0,30.4,Lower Risk Exposure
Abra,SF Bay Area,12.0,2022-06-30,0.05,Crypto,https://www.theblock.co/post/155209/abra-becomes-latest-crypto-firm-to-cut-jobs,Series C,106.0,United States,2022-07-01,Fintech & Financial Services,Late Stage (Series C-D),2022,2,6,June,2022-06,Thursday,Phase 2: Tech Overhiring & Peak Valuation,North America,2.5649493574615367,4.672828834461906,Low (<= 40),Targeted (< 10%),,,1,1,False,2.5,7.0,5.0,5.0,19.5,Lower Risk Exposure
Absci,"Vancouver, Non-U.S.",40.0,2022-08-09,,Healthcare,https://www.absci.com/message-from-ceo-08-09-2022/,Post-IPO,237.0,Canada,2022-08-10,Healthcare & BioTech,Public (Post-IPO),2022,3,8,August,2022-08,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,3.713572066704308,5.472270673671475,Low (<= 40),Unreported,,,1,2,True,8.5,10.1,15.0,5.0,38.6,Moderate Risk Exposure
Absci,Portland,30.0,2023-09-05,0.15,Healthcare,https://www.geekwire.com/2023/biotech-company-absci-lays-off-30-employees-about-15-of-staff/,Post-IPO,238.0,United States,2023-09-07,Healthcare & BioTech,Public (Post-IPO),2023,3,9,September,2023-09,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,3.4339872044851463,5.476463551931511,Low (<= 40),Substantial (10% - 20%),2022-08-09,392.0,2,2,True,7.5,9.3,15.0,7.0,38.8,Moderate Risk Exposure
Absolute Software,"Vancouver, Non-U.S.",40.0,2023-04-06,0.05,Security,https://www.absolute.com/company/press-releases/2023/absolute-software-announces-workforce-restructuring/,Post-IPO,,Canada,2023-04-06,Enterprise & Infrastructure,Public (Post-IPO),2023,2,4,April,2023-04,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,3.713572066704308,,Low (<= 40),Targeted (< 10%),,,1,1,False,2.5,10.1,5.0,5.0,22.6,Lower Risk Exposure
Acast,"Stockholm, Non-U.S.",70.0,2022-09-15,0.15,Media,https://www.bloomberg.com/news/newsletters/2022-09-15/swedish-podcast-company-acast-lays-off-15-of-its-staff,Post-IPO,126.0,Sweden,2022-09-15,Marketing & Media,Public (Post-IPO),2022,3,9,September,2022-09,Thursday,Phase 3: Rate Hikes & Tech Contraction,Europe,4.2626798770413155,4.844187086458591,Moderate (41 - 200),Substantial (10% - 20%),,,1,1,False,7.5,11.6,5.0,5.0,29.1,Lower Risk Exposure
Accolade,Seattle,,2023-03-03,,Healthcare,https://www.bizjournals.com/seattle/news/2023/03/03/accolade-layoffs-reducing-office-footprint-seattle.html,Post-IPO,458.0,United States,2023-03-07,Healthcare & BioTech,Public (Post-IPO),2023,1,3,March,2023-03,Friday,Phase 3: Rate Hikes & Tech Contraction,North America,,6.129050210060545,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
Acko,"Mumbai, Non-U.S.",45.0,2020-04-01,0.09,Finance,https://entrackr.com/2020/04/exclusive-acko-insurance-layoff/,Unknown,143.0,India,2020-04-08,Fintech & Financial Services,Unspecified / Private,2020,2,4,April,2020-04,Wednesday,Phase 1: COVID Shock & Virtualization,Asia-Pacific,3.828641396489095,4.969813299576001,Moderate (41 - 200),Targeted (< 10%),,,1,2,True,4.5,10.4,15.0,5.0,34.9,Lower Risk Exposure
Acko,"Mumbai, Non-U.S.",60.0,2026-04-20,0.05,Finance,https://inc42.com/buzz/acko-cuts-5-workforce-in-pre-ipo-restructuring/,Unknown,143.0,India,2026-04-20,Fintech & Financial Services,Unspecified / Private,2026,2,4,April,2026-04,Monday,Phase 4: AI Pivot & Structural Realignment,Asia-Pacific,4.110873864173311,4.969813299576001,Moderate (41 - 200),Targeted (< 10%),2020-04-01,2210.0,2,2,True,2.5,11.2,15.0,7.0,35.7,Moderate Risk Exposure
Acorns,Portland,50.0,2020-05-26,,Finance,https://techcrunch.com/2020/05/29/amid-unprecedented-growth-on-its-platform-acorns-cuts-roles-and-shuts-down-an-office/,Unknown,207.0,United States,2020-05-30,Fintech & Financial Services,Unspecified / Private,2020,2,5,May,2020-05,Tuesday,Phase 1: COVID Shock & Virtualization,North America,3.9318256327243257,5.337538079701318,Moderate (41 - 200),Unreported,,,1,1,False,8.5,10.7,5.0,5.0,29.2,Lower Risk Exposure
Acronis,"Zurich, Non-U.S.",,2023-10-11,,Security,https://www.acronis.com/en-us/blog/posts/putting-the-focus-on-accelerating-our-partners-growth/,Private Equity,658.0,Switzerland,2023-10-12,Enterprise & Infrastructure,Private Equity Owned,2023,4,10,October,2023-10,Wednesday,Phase 3: Rate Hikes & Tech Contraction,Europe,,6.490723534502507,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
Actifio,Boston,54.0,2020-12-16,,Data,https://www.bizjournals.com/boston/news/2020/12/16/actifio-layoffs-google.html,Acquired,352.0,United States,2020-12-17,Enterprise & Infrastructure,Acquired / Subsidiary,2020,4,12,December,2020-12,Wednesday,Phase 1: COVID Shock & Virtualization,North America,4.007333185232471,5.8664680569332965,Moderate (41 - 200),Unreported,,,1,1,False,8.5,10.9,5.0,5.0,29.4,Lower Risk Exposure
ActiveCampaign,Chicago,,2022-10-03,0.15,Marketing,LinkedIn,Series C,360.0,United States,2022-10-07,Marketing & Media,Late Stage (Series C-D),2022,4,10,October,2022-10,Monday,Phase 3: Rate Hikes & Tech Contraction,North America,,5.8888779583328805,Unreported,Substantial (10% - 20%),,,1,1,False,7.5,12.2,5.0,5.0,29.7,Lower Risk Exposure
ActiveFence,New York City,22.0,2025-03-13,0.07,Security,https://www.calcalistech.com/ctechnews/article/hjvqbqg3jx,Series B,100.0,United States,2025-03-14,Enterprise & Infrastructure,Expansion Stage (Series B),2025,1,3,March,2025-03,Thursday,Phase 4: AI Pivot & Structural Realignment,North America,3.1354942159291497,4.61512051684126,Low (<= 40),Targeted (< 10%),,,1,1,False,3.5,8.5,5.0,5.0,22.0,Lower Risk Exposure
Actyv.ai,"Bengaluru, Non-U.S.",,2023-08-02,0.6,Finance,https://entrackr.com/2023/08/exclusive-saas-startup-actyv-ai-lays-off-more-than-60-employees/,Seed,12.0,India,2023-08-03,Fintech & Financial Services,Early Stage (Seed),2023,3,8,August,2023-08,Wednesday,Phase 3: Rate Hikes & Tech Contraction,Asia-Pacific,,2.5649493574615367,Unreported,Existential / Drastic (> 40%),,,1,1,False,25.0,12.2,5.0,5.0,47.2,Moderate Risk Exposure
