company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added,industry_group,stage_group,year,quarter,month,month_name,year_month,day_of_week,macro_regime,region,laid_off_log,funding_log,severity_magnitude,severity_intensity,prev_event_date,days_since_prior_layoff,event_sequence_number,company_total_events,is_repeated_restructurer,wrri_intensity_comp,wrri_magnitude_comp,wrri_recurrence_comp,wrri_velocity_comp,wrri_score,wrri_category
Lytics,Portland,,2020-04-08,,Marketing,Internal memo,Series C,58.0,United States,2020-06-02,Marketing & Media,Late Stage (Series C-D),2020,2,4,April,2020-04,Wednesday,Phase 1: COVID Shock & Virtualization,North America,,4.07753744390572,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
M1,Chicago,38.0,2022-07-19,,Finance,Internal memo,Series E,323.0,United States,2022-07-30,Fintech & Financial Services,Growth Stage (Series E+),2022,3,7,July,2022-07,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,3.6635616461296463,5.780743515792329,Low (<= 40),Unreported,,,1,1,False,8.5,9.9,5.0,5.0,28.4,Lower Risk Exposure
MARA,Miami,,2026-04-02,0.15,Crypto,https://blockspace.media/insight/bitcoin-miner-mara-conducts-company-wide-layoffs/,Post-IPO,4100.0,United States,2026-05-10,Fintech & Financial Services,Public (Post-IPO),2026,2,4,April,2026-04,Thursday,Phase 4: AI Pivot & Structural Realignment,North America,,8.31898612539206,Unreported,Substantial (10% - 20%),,,1,1,False,7.5,12.2,5.0,5.0,29.7,Lower Risk Exposure
MFine,"Bengaluru, Non-U.S.",600.0,2022-05-21,0.75,Healthcare,https://inc42.com/buzz/exclusive-healthtech-startup-mfine-fires-600-employees/,Series C,97.0,India,2022-05-22,Healthcare & BioTech,Late Stage (Series C-D),2022,2,5,May,2022-05,Saturday,Phase 2: Tech Overhiring & Peak Valuation,Asia-Pacific,6.398594934535208,4.584967478670572,Mega-Event (> 500),Existential / Drastic (> 40%),,,1,1,False,25.0,17.4,5.0,5.0,52.4,Moderate Risk Exposure
MPL,"Bengaluru, Non-U.S.",350.0,2023-08-08,,Consumer,https://www.moneycontrol.com/europe/?url=https://www.moneycontrol.com/news/business/mpl-to-lay-off-350-employees-after-gst-councils-new-28-tax-proposal-11126951.html,Unknown,375.0,India,2023-08-08,Consumer & Retail,Unspecified / Private,2023,3,8,August,2023-08,Tuesday,Phase 3: Rate Hikes & Tech Contraction,Asia-Pacific,5.860786223465865,5.929589143389895,High (201 - 500),Unreported,,,1,1,False,8.5,15.9,5.0,5.0,34.4,Lower Risk Exposure
MRI Software,Cleveland,200.0,2026-05-11,,Real Estate,https://propmodo.com/private-equity-backed-proptech-firm-cuts-200-jobs-cites-ai-adoption/,Acquired,16.0,United States,2026-05-13,Real Estate & PropTech,Acquired / Subsidiary,2026,2,5,May,2026-05,Monday,Phase 4: AI Pivot & Structural Realignment,North America,5.303304908059076,2.833213344056216,Moderate (41 - 200),Unreported,,,1,1,False,8.5,14.4,5.0,5.0,32.9,Lower Risk Exposure
MVPindex,Austin,12.0,2024-01-25,0.3,Marketing,https://www.sportsbusinessjournal.com/Articles/2024/01/25/mvpindex-cuts,Series B,27.0,United States,2024-02-16,Marketing & Media,Expansion Stage (Series B),2024,1,1,January,2024-01,Thursday,Phase 4: AI Pivot & Structural Realignment,North America,2.5649493574615367,3.332204510175204,Low (<= 40),Severe (20% - 40%),,,1,1,False,15.0,7.0,5.0,5.0,32.0,Lower Risk Exposure
MX,Lehi,200.0,2022-10-11,,Finance,https://www.sltrib.com/news/2022/10/19/lehi-tech-company-mx-has-laid/,Series C,450.0,United States,2022-10-12,Fintech & Financial Services,Late Stage (Series C-D),2022,4,10,October,2022-10,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,5.303304908059076,6.111467339502679,Moderate (41 - 200),Unreported,,,1,1,False,8.5,14.4,5.0,5.0,32.9,Lower Risk Exposure
Made Renovation,SF Bay Area,,2023-10-18,1.0,Construction,https://techcrunch.com/2023/10/18/made-renovation-which-intrigued-then-infuriated-its-customers-is-shutting-down/,Seed,9.0,United States,2023-10-19,Other / Diversified,Early Stage (Seed),2023,4,10,October,2023-10,Wednesday,Phase 3: Rate Hikes & Tech Contraction,North America,,2.302585092994046,Unreported,Existential / Drastic (> 40%),,,1,1,False,25.0,12.2,5.0,5.0,47.2,Moderate Risk Exposure
Made.com,"London, Non-U.S.",,2022-09-22,0.35,Retail,https://www.investing.com/news/stock-market-news/madecom-to-cut-jobs-explore-sale-as-economic-headwinds-weigh-on-performance-2897615,Series D,136.0,United Kingdom,2022-09-24,Consumer & Retail,Late Stage (Series C-D),2022,3,9,September,2022-09,Thursday,Phase 3: Rate Hikes & Tech Contraction,Europe,,4.919980925828125,Unreported,Severe (20% - 40%),,,1,1,False,17.5,12.2,5.0,5.0,39.7,Moderate Risk Exposure
